input_text,target_text,task_type,source,quality_label,reason
Convert brainrot English to normal English: 3am brain just hits different 🫠 staring at the ceiling questioning everything? the existential dread goes HARD in the silence 💀✨ send happy thoughts (or memes),The existential dread that occasionally creeps in during late-night hours often feels amplified by the surrounding silence and darkness.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: FINALLY finished that nightmare task 😭😮‍💨 the relief washing over me is better than caffeine fr, i am FREE ✨🥳 feel reborn",The immense relief felt after finally completing a long and arduous task is almost euphoric in its intensity.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: FIXED the tech issue that's been plaguing my existence??? i am a GOD amongst mortals rn 💻🙏✨ feel like Neo from the Matrix dodging error codes 😎,The profound relief after finally resolving a persistent and annoying technical problem with a computer or device.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: NAILED the parallel park first try while someone was watching??? immediate god complex unlocked fr 😎🚗✨ feeling like the main character rn,The satisfaction of perfectly executing a parallel parking maneuver on the first attempt under pressure is an unparalleled feeling of accomplishment.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: NAUR BC THAT FINALE?? 🤯🤯 the plot twist just changed the whole game, im GAGGED 😭✋ my theories are in shambles, questioning my whole reality rn","That sudden, unexpected plot twist in the season finale left me completely speechless and questioning everything I thought I knew about the characters.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: TGIF! weekend mode activated. let's gooo 🥳,I'm looking forward to the weekend.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: TGIF! weekend mood activated ✨ gonna relax, recharge and spend time with loved ones. escaping reality for a bit 😌","I'm looking forward to the weekend, planning to relax, recharge, and spend quality time with loved ones, escaping the pressures of work and daily life.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: a good cuppa tea just fixes things fr ✨☕️ simple pleasures vibes, peak comfort & chill 🙏😌",I enjoy the simple pleasure of a good cup of tea.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: academia is a scam, i'm gonna sell stickers",I don't want to study anymore.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: adversity hits & she stays hopeful?? ✨💖 optimistic queen finds the silver lining 🙏 inspiring strength,She remains optimistic in the face of adversity.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: affection.exe still installing,I want to be cared for.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: aight bet, prioritize the main quest fr 🙏 focus on the big moves first, handle business 💯🎯",Let's focus on the most important tasks first.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: aight bet, we linkin tonight? whats the move? 🤔 squad gotta be on the same page fr 🤝",We need to coordinate our plans for tonight.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: aight i was outta pocket fr, my bad 🙏 gotta own up to my shi and make it right 💯",I need to apologize for what I said.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
"Convert brainrot English to normal English: aight we made the play, gotta stick to the script fr 💯 follow the plan gng, no switchin up 🤝",We need to stick to the agreed-upon plan.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: alarm hits harder than reality,I don't want to wake up.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: almost ate pavement in public but styled it out like it was intentional choreography 😎🕺 adrenaline spike followed by 'act normal nobody saw' panic 💨💀,The surge of adrenaline when you almost trip in public but manage to recover with feigned nonchalance.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: always learning and growing ✨ striving for self-improvement. never stop learning 🤓,"I'm continually learning and growing, both professionally and personally, striving for self-improvement and expanding my horizons.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: always looking for ways to improve efficiency and productivity ✨ streamlining workflows. lets gooo 💪,"I'm always seeking ways to improve my efficiency and productivity, streamlining workflows and optimizing processes.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: always seeking new challenges and opportunities ✨ pushing myself beyond my comfort zone. never stop growing 🤓,"I'm always seeking new challenges and opportunities to learn and grow, pushing myself beyond my comfort zone to achieve my full potential.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: always working on improving my communication skills ✨ its so important for teamwork 🤝,"I'm continually striving to improve my communication skills, recognizing their importance in fostering collaboration and achieving shared goals.",sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: answering a work call like 'wassup homeslice' instead of 'good morning' 💀 immediate regret and internal screaming commenced 🔥📞 professional mask slipped fr,That brief moment of panic when you automatically answer a work call with your overly casual 'personal phone' greeting.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
Convert brainrot English to normal English: antique shops are time capsules fr ✨🕰️ finding unique old treasures? peak history hunt 🙏 stories in objects,I love finding unique items in antique shops.,sentence_translation,hf_parallel:ethan00alphayehah/brainrot-dataset,keep,kept_sentence_translation
