brainrot,normal
BDE,confidence and ease
Broken heart emoji 💔,"a way to express disappointment, like when something is unfunny"
Face with bags under eyes emoji 🫩,an expression of beleaguerment
GOAT,greatest of all time
Gucci,an expression of approval or satisfaction for something
IJBOL,"an acronym for ""I just burst out laughing"""
KMS,kill myself
KYS,kill yourself
Karen,"pejorative term for an obnoxious, angry, or entitled (usually but not exclusively white and middle-aged) woman"
Khia,a nobody or irrelevant person
Kirkifying,use of deepfake softwares to put Charlie Kirk 's face to pictures of already popular online memes
L,"""loss,"" used to indicate failure, defeat, or something negative"
L+Ratio,insult used primarily online
Loudly crying emoji 😭,"also a replacement for I'm dying or the crying with laughter emoji, representing laughter"
OK boomer,"pejorative directed toward members of the Baby Boomer generation, used to dismiss or mock attitudes typically associated with baby boomers as out of date"
Roman Empire,"a random event, person, incident, or thing that fascinates or intrigues one to the point that one is frequently thinking about it"
SDIYBT,"acronym for ""Start digging in your butt, twin"
Skull emoji 💀,"replacement for the phrase ""I'm dying"", representing laughter or when something is unhinged"
Son I'm crine,"often used in phrases like ""Son I'm crine"""
W,"""win,"" used to indicate success, victory, or something positive"
Wilted flower emoji 🥀,"commonly referred to as the ""Wilted rose emoji,"" it replaces, or used in addition to, the broken heart emoji, also expresses disappointment, albeit often with humorous undertones"
You good?,"greeting, and is generally used to express concern for an acquaintance's well-being"
acoustic,"autistic"
and I oop,"an expression of shock, embarrassment, and/or amusement"
ate,to performed well or extremely good at something
aura,an individual's current reputation or charisma
baddie,"a confident, stylish, and attractive woman"
ball knowledge,niche or uncommon knowledge
bar(s),a lyric in a rap song that is considered excellent
based,approval of someone or agreement with another's opinion
basic,"people who prefer prefer mainstream products, trends, and music"
beige flag,a behavior or personality trait that is neither good nor bad
bestie,best friend
bet,"yes, okay, or sure"
bffr,be fucking for real
big back,a person with excessive eating habits
big yikes,"something embarrassing or cringe, particularly in response to an offensive comment"
blud,"""blood brother"" or ""mate"""
brainrot,"the state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content, especially when characterized by online buzzwords (""skibidi"", ""fanum tax"", ""rizz"", etc)"
bro,brother
bru,"""bro"" originating from AAVE"
bruh,"""bro"" originating from AAVE"
