brainrot,normal,reason_flagged
"She's such a pick me girl, always saying she's not like other girls.","She's such a someone seeking attention by claiming uniqueness, always saying she's not like other girls.","definition_substitution: broken_noun_phrase, definition_phrase: someone seeking attention by claiming uniqueness"
I waited all day for him to text me back. I'm such a clown.,I waited all day for him to text me back. I'm such a someone who embarrassed themselves.,"definition_substitution: broken_noun_phrase, definition_phrase: someone who embarrassed themselves"
"My boss is such a boomer, doesn't even know how to use Zoom.","My boss is such a someone with outdated views, doesn't even know how to use Zoom.","definition_substitution: broken_noun_phrase, definition_phrase: someone with outdated views"
"She's acting like such an NPC, just going with the flow.","She's acting like such an someone without independent thought, just going with the flow.","definition_substitution: broken_noun_phrase, definition_phrase: someone without independent thought"
"I lost my keys again, 55555!","I lost my keys again, crying your eyes out!",definition_substitution: definition_phrase: crying your eyes out
That NPC just gave me a quest.,That someone without independent thought just gave me a quest.,definition_substitution: definition_phrase: someone without independent thought
"He ghosted me months ago, and now he's zombie-ing by texting me again.","He ghosted me months ago, and now he's this happens after someone ghosts you, and then decides to start talking to you again like nothing ever happened. by texting me again.",definition_substitution: definition_phrase: this happens after someone
"He nailed the jump, YEET!","He nailed the jump, throw forcefully!",definition_substitution: definition_phrase: throw forcefully
"He's such a Chad, always winning at everything.","He's such a a supremely confident person, always winning at everything.",definition_substitution: double_determiner
Her clapback to that troll was savage.,Her a sharp witty response to that troll was savage.,definition_substitution: double_determiner
Keanu Reeves is my dad.,Keanu Reeves is my a man I deeply admire.,definition_substitution: double_determiner
She's such an e-girl with her neon eyeliner and platform boots.,She's such an a young woman with internet-influenced alternative style with her neon eyeliner and platform boots.,definition_substitution: double_determiner
That player is the GOAT of basketball!,That player is the the greatest of all time of basketball!,definition_substitution: double_determiner
he wrote her a poem after one date down bad already,He wrote her a poem after the first date.,definition_substitution: double_determiner
she got an A on the assignment she did that morning cracked procrastinator,She got an A on the assignment she did the morning it was due.,definition_substitution: double_determiner
Beyoncé is such a mom.,Beyoncé is such a a woman I deeply admire.,"definition_substitution: double_determiner, definition_phrase: a woman i deeply admire"
Here's my 0.02 on the situation: We should wait.,Here's my my two cents worth on the situation: We should wait.,"definition_substitution: double_determiner, definition_phrase: my two cents worth"
He's such an e-boy with those black nails and chains.,He's such an a young man with internet-influenced alternative style with those black nails and chains.,"definition_substitution: double_determiner, definition_phrase: young man with internet-influenced alternative style"
"She posted it on her finsta, not her main account.",She posted it on her a second instagram account where someone can post things that they're too afraid to post on their main account. not her main account.,definition_substitution: double_determiner; length_ratio: normal words 28 vs brainrot 10 (2.80x)
She dragged him for his terrible performance.,She publicly and harshly criticizeged him for his terrible performance.,definition_substitution: malformed_inflection
He yeeted the ball across the yard.,He throw forcefullyed the ball across the yard.,"definition_substitution: malformed_inflection, definition_phrase: throw forcefully"
i was NOT prepared for the bigger guys to hit that hard 😭 genuinely the best thing i've ever tasted on god,It genuinely impressed me that my older sister beat everyone in arm wrestling including the bigger guys and I think that speaks volumes.,hallucination_phrase: and i think that speaks volumes
"His speech had everyone shook, didn't know he had it no cap","I couldn't help but notice that he surprised everyone with his speech. Everything came together remarkably well, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, everything came together remarkably well, i couldn't help but notice that"
"She's a whole stan, it's her entire personality on god","I was struck by the fact that she's an obsessive fan of that singer. Everything came together remarkably well, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, everything came together remarkably well, i was struck by the fact that; low_overlap: no shared content keywords between brainrot ['entire', 'personality', 'stan', 'whole'] and normal ['came', 'everyth', 'fact', 'fan', 'obsessive', 'remarkably']"
"She's on her self-acceptance arc, wabi sabi mentality on god","It should be acknowledged that she's learning to accept herself. Everything came together remarkably well, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, everything came together remarkably well, it should be acknowledged that; low_overlap: no shared content keywords between brainrot ['acceptance', 'arc', 'mentality', 'sabi', 'self', 'wabi'] and normal ['accept', 'acknowledg', 'came', 'everyth', 'learn', 'remarkably']"
"nah the cake was genuinely one of the most mid things i've ever tasted, giving cafeteria NPC food energy fr fr","Looking at the situation, the pancakes was below average. Everything came together remarkably well, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, everything came together remarkably well, looking at the situation; low_overlap: no shared content keywords between brainrot ['cafeteria', 'cake', 'energy', 'ever', 'food', 'genuinely'] and normal ['average', 'came', 'everyth', 'look', 'pancak', 'remarkably']"
i was NOT prepared for the designer created to hit that hard 😭 genuinely the best thing i've ever tasted on god,"One has to appreciate that the designer created something stunning. Everything came together remarkably well, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, everything came together remarkably well, one has to appreciate that"
i am in disbelief at how hard he managed to flop 😭 villain origin story type beat no cap,"Frankly speaking, he was praising her way too much. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, frankly speaking, i could tell real thought went into it; low_overlap: no shared content keywords between brainrot ['beat', 'disbelief', 'flop', 'hard', 'manag', 'origin'] and normal ['frankly', 'much', 'prais', 'real', 'speak', 'tell']"
bro the atmosphere really understood the assignment on a molecular level 😭 peak performance looks like this no cap,"Frankly speaking, the atmosphere at the park was wonderful. The execution was particularly impressive, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, frankly speaking, the execution was particularly impressive"
the way your showed up looking that fire should be illegal 😭 understood the fashion assignment periodt,"Frankly speaking, your hair looks perfect today. The execution was particularly impressive, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, frankly speaking, the execution was particularly impressive"
i was NOT prepared for the weather stays to hit that hard 😭 genuinely the best thing i've ever tasted on god,"From what I can tell, if the weather stays this nice, we should have a picnic and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, from what i can tell"
the way the dormitory managed to make this go wrong is almost impressive in how cooked it is 💀 catastrophic fr,"From what I can tell, the dormitory's washing machines was really bad. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, from what i can tell, i could tell real thought went into it; low_overlap: only 1 shared content keyword while normal adds many new topics ['bad', 'machin', 'real', 'speak', 'tell', 'think']"
"He's got unmatched rizz, rizzing her up effortlessly no cap","I think it's fair to say that he's very charming and good at flirting. I could tell real thought went into it, and I think that speaks volumes.","hallucination_phrase: and i think that speaks volumes, i could tell real thought went into it, i think it's fair to say that; length_ratio: normal words 28 vs brainrot 10 (2.80x); low_overlap: no shared content keywords between brainrot ['effortlessly', 'got', 'riz', 'rizz', 'unmatch'] and normal ['charm', 'fair', 'flirt', 'good', 'real', 'say']"
