input_text,target_text,task_type,source,quality_label,reason,raw_input,raw_target
"Look at him in that suit, total zaddy vibes.","Look at him in that suit, total refers to an attractive, well-dressed man. often, it's an older man vibes.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"Look at him in that suit, total zaddy vibes.","Look at him in that suit, total refers to an attractive, well-dressed man. often, it's an older man vibes."
His coding skills are so l33t.,"His coding skills are so leet, meaning 'elite'.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,His coding skills are so l33t.,"His coding skills are so leet, meaning 'elite'."
"Want to grab dinner? Say less, I'm there.","Want to grab dinner? a shortened version of ""say no more."", I'm there.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"Want to grab dinner? Say less, I'm there.","Want to grab dinner? a shortened version of ""say no more."", I'm there."
a compliment from someone you respect hits different fr,A compliment from someone you respect means so much more.,rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,a compliment from someone you respect hits different fr,A compliment from someone you respect means so much more.
I think he's benching me—he texts but never makes plans.,"I think he's just like in sports, benching someone in dating means putting them to the side to date other people. me—he texts but never makes plans.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,I think he's benching me—he texts but never makes plans.,"I think he's just like in sports, benching someone in dating means putting them to the side to date other people. me—he texts but never makes plans."
"Everyone's cuffing this fall, it's relationship season.","Everyone's ""cuffing"" simply means to get into a relationship. this fall, it's relationship season.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"Everyone's cuffing this fall, it's relationship season.","Everyone's ""cuffing"" simply means to get into a relationship. this fall, it's relationship season."
she's brutally honest but means well the honesty is based even when it stings,She's brutally honest but always means well.,rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,she's brutally honest but means well the honesty is based even when it stings,She's brutally honest but always means well.
"Everything is Gucci, don't worry.","Everything is term born out of the popularity of the high-end fashion brand. these days, it means that something is good, don't worry.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"Everything is Gucci, don't worry.","Everything is term born out of the popularity of the high-end fashion brand. these days, it means that something is good, don't worry."
"He keeps telling me I'm overreacting, but I think he's gaslighting me.","He keeps telling me I'm overreacting, but I think he's refers to a form of psychological manipulation in which a significant other makes you feel crazy or wrong, even when unjustified me.",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"He keeps telling me I'm overreacting, but I think he's gaslighting me.","He keeps telling me I'm overreacting, but I think he's refers to a form of psychological manipulation in which a significant other makes you feel crazy or wrong, even when unjustified me."
"Naur, why did you do that?","Means no or know. it functions as a more dramatic way of saying ""no"" or ""know,"" and sounds like ""no"" with an australian accent. why did you do that?",rejected,hf_parallel:projolx/genz_brainrot_dataset,rejected,definition_style_target_for_sentence,"Naur, why did you do that?","Means no or know. it functions as a more dramatic way of saying ""no"" or ""know,"" and sounds like ""no"" with an australian accent. why did you do that?"
