brainrot,original_normal,training_normal,action,reason,source_file,source_dataset
OK boomer,"Pejorative directed toward members of the Baby Boomer generation, used to dismiss or mock attitudes typically associated with baby boomers as out of date.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
Roman Empire,"A random event, person, incident, or thing that fascinates or intrigues one to the point that one is frequently thinking about it. Originated in 2023 after influencer Saskia Cort encouraged her Instagram followers to ask their male partners how often they thought about the Roman Empire, to which many answered quite often. The term spread internationally and evolved to mean something that frequently occupies one's thoughts. It has also morphed into a joke about how often people think about/mention the Roman Empire.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
Wilted flower emoji 🥀,"Commonly referred to as the ""Wilted rose emoji,"" it replaces, or used in addition to, the broken heart emoji, also expresses disappointment, albeit often with humorous undertones.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
brainrot,"The state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content, especially when characterized by online buzzwords (""skibidi"", ""fanum tax"", ""rizz"", etc). Derived from the idea that one's brain would ""rot"" from consuming too much stimulating, addictive or degenerate content.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
caught in 4K,"Refers to someone being indisputably caught doing something wrong or incriminating on camera or with evidence to prove it, referencing 4K resolution.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
crine,"Variant pronunciation/spelling of ""crying,"" typically meaning crying & dying from laughter (equivalent to ""dying of laughter"" or ""I'm crying""). Often used in phrases like ""Son I'm crine"".",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
flop era,Primarily used on TikTok and Twitter when a person is not getting enough likes and views and starts posting memes and putting text over it in hope of going viral.,,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
gng,"Used to refer to a close group of friends or as a casual greeting/address (e.g., ""wassup gng"" meaning ""what's up, gang""). Can also mean ""good night gang"" in parting contexts, especially among gamers or online communities.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
hawk tuah,An onomatopoeia for spitting or expectoration on a penis as a form of oral sex used by Haliey Welch in 2024.,,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
iPad kid,"Term describing Generation Alpha children who spend most of their time consuming content via a phone or tablet screen. The term was popularized in January 2021 after a 21-year-old TikToker criticized Millennial parents for allowing their children excessive screen time, saying, ""I need everyone else in my generation to promise that we are not going to raise 'iPad children'.... You've been shoving media and screens in these kids' faces since birth."" He concludes: ""Gen Z isn't allowed to raise iPad kids."" The viral video garnered more than 525 million views on TikTok.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
jestermaxxing,"A slang term referring to both internet subcultures such as incels, and to the practice of using extreme humor, comedic antics, or acting like a ""clown"" to gain female attention and attraction (see also Clavicular).",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
nugu,"Relatively unknown, obscure, or new groups that have not yet gained significant recognition or popularity among the K-Pop fandom.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
out of pocket,"To act (or say something) crazy, wild, unexpected, or extreme, sometimes to an extent that is considered too far; or unavailable.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
periodt,"Used as an interjection to indicate that the preceding statement is final and that there is nothing more to be said about it; similar to the British term ""full stop"". Originated as ""period"" in the early 1900s, spread in the 2010s via the City Girls rap duo and Black Twitter, and entered into the mainstream by 2019. The addition of the T stems from a common trend in Black English where T is used as a replacement for D.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
pick-me,"Someone who seeks validation by trying to stand out, often putting down others in their gender or group to gain favor or attention. This is most commonly done by degrading one's self.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
queen,"A gay slang term for a homosexual male – it was once considered pejorative but has been completely reclaimed, and is often used in combination with other words to describe subcommunities.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
skill issue,"Refers to a situation where a person's lack of ability or proficiency is seen as the cause of their failure or difficulty in completing a task, sometimes used ironically.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
touch grass,"A way of telling someone to ""go outside"", usually after said person is believed to have been online for too long. Believed to have originated in 2015, before experiencing a resurgence in 2020–2021.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
unalive,"An algospeak based euphemism for the word ""kill"" or other death -related terms, often in the context of suicide. This word is often used to circumvent social media algorithms, especially YouTube and TikTok, from censoring or demonetizing content that involves death-related terms.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
who is this diva?,"An affectionate rhetorical question used to compliment people who positively embody diva -like qualities such as boldness, style, and/or confidence. Sometimes used with a purple heart emoji at the end. Originated from TikTok.",,drop,glossary_definition_too_long,data\processed\slang_terms.csv,
bro,Shortened version of brother.,,drop,glossary_definition_too_thin,data\processed\slang_terms.csv,
Face with bags under eyes emoji 🫩,Used to express beleaguerment.,,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
Loudly crying emoji 😭,"Also a replacement for I'm dying or the crying with laughter emoji, representing laughter. Similar to the skull emoji.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
acoustic,"An algospeak form of the word ""autistic."" Used as an insult to call someone stupid or to say that they have special needs.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
and I oop,"Used to express shock, embarrassment, and/or amusement. Often associated with VSCO girls alongside 'sksksk'.",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
basic,"Pertaining to those who prefer mainstream products, trends, and music. Derived from the term ""basic bitch"".",,drop,glossary_meta_only_definition,data\processed\slang_terms.csv,
