input_text,target_text,task_type,source,quality_label,reason
Define this brainrot term in normal English: acoustic,Acoustic means autistic.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: and I oop,"And I oop is an expression of shock, embarrassment, and or or amusement.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ate,Ate means to performed well or extremely good at something.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: aura,Aura is an individual's current reputation or charisma.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: baddie,"Baddie is a confident, stylish, and attractive woman.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ball knowledge,Ball knowledge means niche or uncommon knowledge.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bar(s),Bar(s) is a lyric in a rap song that is considered excellent.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: based,Based means approval of someone or agreement with another's opinion.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: basic,"Basic means people who prefer prefer mainstream products, trends, and music.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: BDE,BDE means confidence and ease.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: beige flag,Beige flag is a behavior or personality trait that is neither good nor bad.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bestie,Bestie means best friend.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bet,"Bet means yes, okay, or sure.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bffr,Bffr means be fucking for real.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: big back,Big back is a person with excessive eating habits.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: big yikes,"Big yikes is something embarrassing or cringe, particularly in response to an offensive comment.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: blud,"Blud means ""blood brother"" or ""mate"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: brainrot,"Brainrot is the state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content, especially when characterized by online buzzwords (""skibidi"", ""fanum tax"", ""rizz"", etc).",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bro,Bro means brother.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Broken heart emoji 💔,"Broken heart emoji 💔 is a way to express disappointment, like when something is unfunny.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bru,"Bru means ""bro"" originating from AAVE. It comes from AAVE.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bruh,"Bruh means ""bro"" originating from AAVE. It comes from AAVE.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bussin',Bussin' means extremely good or excellent.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: bussy,"Bussy means portmanteau of ""boy"" and ""pussy"" (slang for the vagina).",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: cap,Cap means to lie originating from AAVE. It comes from AAVE.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: caught in 4K,"Caught in 4K is someone being indisputably caught doing something wrong or incriminating on camera or with evidence to prove it, referencing 4K resolution.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: chopped,Chopped means ugly or unattractive.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: chud,Chud is a pejorative term for someone on the far-right.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: clanker,"Clanker means slur for robots, primarily used against generative artificial intelligence.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: clapback,Clapback means swift and witty response to an insult or critique.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: cook,Cook means to perform or do well.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: cooked,Cooked means to be in trouble.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: cracked,Cracked means to be skilled at something.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: crash out,Crash out means to a bout of rage or upset.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: crine,"Crine means often used in phrases like ""Son I'm crine"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: dead,"Dead means humorous to such an extent as to ""kill you"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ded,"Ded means humorous to such an extent as to ""kill you"".",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: delusionship,Delusionship is a relationship in which someone holds unrealistic or overly idealistic beliefs.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: dih,Dih means ironic algospeak for dick.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: drip,Drip means good-looking or trendy high-class fashion.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: drop bars,Drop bars is a lyric in a rap song that is considered excellent.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: edge,Edge means to maintain a high level of sexual arousal for an extended period without reaching climax ( orgasm).,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: elite ball knowledge,Elite ball knowledge means niche or uncommon knowledge.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: face card,Face card is an attractive face.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Face with bags under eyes emoji 🫩,Face with bags under eyes emoji 🫩 is an expression of being worn out or exhausted.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: fanum tax,Fanum tax means theft of food between friends.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: finna,Finna means going to or about to.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: fire,"Fire means term used to describe that something is impressive, good, or cool.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: fit,Fit means term used to highlight or bring attention to one's outfit or fashion.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: fit check,Fit check means term used to highlight or bring attention to one's outfit or fashion.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: flop era,Flop era means primarily used on TikTok and Twitter when a person is not getting enough likes and views and starts posting memes and putting text over it in hope of going viral. It spread through TikTok meme culture.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: flow state,"Flow state means used when relaxing, typically when concentrating on something.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: gagged,"Gagged means shocked, amazed, or at a loss for words.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: gas,"Gas means to describe something as highly entertaining, pleasant, or good.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: ghost,Ghost means to end communication or contact with someone without warning.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: glaze,"Glaze means to hype, praise, or compliment someone so much that it becomes annoying or excessive.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: glizzy,Glizzy is a hot dog.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: glow-up,"Glow-up is a major improvement in one's self, usually an improvement in appearance, confidence, personality, and style.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: gng,"Gng means used to refer to a close group of friends or as a casual greeting or address (e.g., ""wassup gng"" meaning ""what's up, gang"").",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: GOAT,GOAT means greatest of all time.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: good boy,Good boy is a phrase that is mockingly used when one is told to do something and they do it.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: good girl,Good girl is a phrase that is mockingly used when one is told to do something and they do it.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: goofy ahh,"Goofy ahh is an AAVE phrase and slang term meaning ""goofy ass"" used to label content as goofy or silly.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: gooning,Gooning is the act of masturbating for long periods of time or for someone who does it chronically.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: green flag,"Green flag means behaviors or personality traits that are considered positive, healthy, or desirable.",term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: Gucci,Gucci is an expression of approval or satisfaction for something.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
Define this brainrot term in normal English: hawk tuah,Hawk tuah is an onomatopoeia for spitting or expectoration on a penis as a form of oral sex used by Haliey Welch in 2024.,term_definition,local_glossary:slang_terms_brainrot_normal.csv,repaired,repaired_term_definition
